Afghanistan	Pakistan	60200
Albania	Argentina	27
Albania	Australia	621
Albania	Belgium	326
Albania	Bosnia and Herzegovina	2145
Albania	Brazil	338
Albania	Bulgaria	9995
Albania	Canada	29
Albania	China	45
Albania	Croatia	82
Albania	Egypt	79
Albania	France	6
Albania	Germany	224
Albania	Greece	6742
Albania	Hungary	14788
Albania	India	146
Albania	Indonesia	156
Albania	Italy	7602
Albania	Malaysia	342
Albania	Montenegro	49
Albania	Netherlands	554
Albania	New Zealand	48
Albania	Paraguay	28
Albania	Poland	102
Albania	Romania	129
Albania	Russian Federation	8739
Albania	Serbia	1404
Albania	Slovenia	4
Albania	Spain	21
Albania	Sweden	1
Albania	Switzerland	1
Albania	The former Yugoslav Republic of Macedonia	8931
Albania	Tunisia	202
Albania	Turkey	1428
Albania	Ukraine	10366
Albania	United States of America	10
Angola	Argentina	64610
Angola	Belgium	224
Angola	Brazil	12227
Angola	China	383
Angola	CutedIvoire	31
Angola	Denmark	14
Angola	France	431
Angola	Germany	2
Angola	Hong Kong (SARC)	1
Angola	India	39
Angola	Indonesia	14297
Angola	Italy	287
Angola	Lebanon	39
Angola	Malaysia	40862
Angola	Morocco	142
Angola	Namibia	3968
Angola	Netherlands	9102
Angola	Portugal	73465
Angola	Singapore	35553
Angola	South Africa	831
Angola	Spain	401
Angola	Tunisia	1876
Angola	United Arab Emirates	115
Angola	United Kingdom	7
Angola	United States of America	86
Angola	Zambia	48
Argentina	Bahamas	94
Argentina	Belgium	458
Argentina	Brazil	8572
Argentina	Chile	1587
Argentina	China	61
Argentina	Chinese Taipei	64
Argentina	Colombia	2425
Argentina	Costa Rica	3
Argentina	Denmark	6173
Argentina	Ecuador	4537
Argentina	France	997
Argentina	Germany	3563
Argentina	Greece	2
Argentina	India	769
Argentina	Indonesia	287
Argentina	Italy	399
Argentina	Japan	49
Argentina	Lebanon	13
Argentina	Malaysia	20496
Argentina	Mexico	48
Argentina	Netherlands	468
Argentina	Paraguay	1876
Argentina	Singapore	650
Argentina	South Africa	12
Argentina	Spain	894
Argentina	Sweden	17
Argentina	Switzerland	18
Argentina	Turkey	7
Argentina	United Kingdom	217
Argentina	United States of America	1956
Argentina	Uruguay	15118
Armenia	Argentina	261
Armenia	Belgium	4769
Armenia	Brazil	1
Armenia	China	97
Armenia	Chinese Taipei	1
Armenia	Cyprus	288
Armenia	Denmark	237
Armenia	Georgia	553
Armenia	Germany	858
Armenia	Greece	714
Armenia	Hong Kong (SARC)	7
Armenia	Indonesia	480
Armenia	Iran (Islamic Republic of)	7634
Armenia	Italy	819
Armenia	Malaysia	2369
Armenia	Netherlands	79
Armenia	New Zealand	751
Armenia	Republic of Korea	1
Armenia	Republic of Moldova	365
Armenia	Russian Federation	15427
Armenia	Spain	493
Armenia	Switzerland	1
Armenia	Syrian Arab Republic	7
Armenia	Turkey	15
Armenia	Ukraine	16337
Armenia	United Arab Emirates	284
Armenia	United States of America	8
Aruba	Argentina	164
Aruba	Canada	151
Aruba	Chile	3
Aruba	China	2
Aruba	Colombia	113
Aruba	Dominica	1
Aruba	Dominican Republic	62
Aruba	Hong Kong (SARC)	2
Aruba	Italy	55
Aruba	Mexico	1
Aruba	Netherland Antilles	90
Aruba	Netherlands	125
Aruba	Niger	4
Aruba	Spain	18
Aruba	Trinidad and Tobago	316
Aruba	United Kingdom	29
Aruba	United States of America	4106
Aruba	Venezuela	16
Australia	Argentina	46657
Australia	Austria	52
Australia	Bangladesh	35
Australia	Belgium	5713
Australia	Belize	98
Australia	Brazil	26010
Australia	Canada	3837
Australia	Chile	390
Australia	China	5168
Australia	Chinese Taipei	2551
Australia	Colombia	486
Australia	Denmark	2745
Australia	Fiji	1485
Australia	France	408
Australia	French Polynesia	1
Australia	Germany	9702
Australia	Ghana	19
Australia	Greece	5316
Australia	Hong Kong (SARC)	797
Australia	Iceland	2633
Australia	India	3402
Australia	Indonesia	5176
Australia	Israel	55
Australia	Italy	34867
Australia	Japan	1111
Australia	Kyrgyzstan	5
Australia	Lebanon	183
Australia	Malaysia	240813
Australia	Mali	77
Australia	Mexico	708
Australia	Morocco	56
Australia	Namibia	32
Australia	Nepal	36
Australia	Netherlands	1922
Australia	New Zealand	6190
Australia	Nicaragua	6
Australia	Niger	7
Australia	Nigeria	7
Australia	Norway	3211
Australia	Papua New Guinea	19
Australia	Peru	16283
Australia	Philippines	481
Australia	Portugal	714
Australia	Republic of Korea	595
Australia	Russian Federation	9
Australia	Saudi Arabia	65
Australia	Sierra Leone	7
Australia	Singapore	29203
Australia	Slovenia	33
Australia	Solomon Islands	58
Australia	South Africa	3195
Australia	Spain	60518
Australia	Sri Lanka	14
Australia	Sweden	126
Australia	Switzerland	551
Australia	Syrian Arab Republic	57
Australia	Thailand	6334
Australia	Tunisia	91
Australia	Turkey	4294
Australia	Ukraine	52
Australia	United Arab Emirates	475
Australia	United Kingdom	983
Australia	United States Minor Outlying Islands	978
Australia	United States of America	15992
Australia	Uruguay	75
Australia	Viet Nam	42
Austria	Argentina	7
Austria	Australia	11
Austria	Belarus	69
Austria	Belgium	19359
Austria	Bolivia	19
Austria	Bosnia and Herzegovina	6713
Austria	Brazil	1392
Austria	Bulgaria	5
Austria	Canada	95
Austria	Central African Republic	2
Austria	Chile	28
Austria	China	58
Austria	Chinese Taipei	106
Austria	Colombia	94
Austria	Croatia	2501
Austria	Czech Republic	20984
Austria	Denmark	1823
Austria	Dominican Republic	6
Austria	Egypt	3
Austria	Finland	7
Austria	France	9308
Austria	Germany	256055
Austria	Ghana	4
Austria	Greece	11909
Austria	Guatemala	3
Austria	Hong Kong (SARC)	3
Austria	Hungary	19088
Austria	Iceland	9
Austria	India	231
Austria	Indonesia	1663
Austria	Israel	39
Austria	Italy	69454
Austria	Japan	36
Austria	Lebanon	9
Austria	Lithuania	1027
Austria	Luxembourg	84
Austria	Malaysia	3475
Austria	Mexico	325
Austria	Morocco	288
Austria	Netherland Antilles	88
Austria	Netherlands	124692
Austria	New Zealand	8
Austria	Nigeria	19
Austria	Norway	1117
Austria	Palestine	60
Austria	Papua New Guinea	1
Austria	Peru	28
Austria	Philippines	8
Austria	Poland	8512
Austria	Portugal	15
Austria	Republic of Korea	3
Austria	Republic of Moldova	1950
Austria	Romania	11492
Austria	Saudi Arabia	1
Austria	Serbia	36406
Austria	Singapore	65
Austria	Slovakia	8972
Austria	Slovenia	18122
Austria	South Africa	17
Austria	Spain	11456
Austria	Sri Lanka	1
Austria	Sweden	4191
Austria	Switzerland	918
Austria	Thailand	1433
Austria	Tunisia	4
Austria	Turkey	198
Austria	Ukraine	6747
Austria	United Arab Emirates	1518
Austria	United Kingdom	3898
Austria	United States of America	570
Austria	Viet Nam	7
Azerbaijan	Australia	10
Azerbaijan	Belarus	63
Azerbaijan	Belgium	25
Azerbaijan	Brazil	2379
Azerbaijan	Canada	1
Azerbaijan	China	1308
Azerbaijan	Czech Republic	27
Azerbaijan	Denmark	19
Azerbaijan	Germany	4
Azerbaijan	Indonesia	4048
Azerbaijan	Iran (Islamic Republic of)	340
Azerbaijan	Israel	1937
Azerbaijan	Italy	49
Azerbaijan	Lithuania	9
Azerbaijan	Malaysia	28258
Azerbaijan	Philippines	4
Azerbaijan	Poland	1
Azerbaijan	Portugal	3861
Azerbaijan	Republic of Moldova	9
Azerbaijan	Romania	6099
Azerbaijan	Russian Federation	7262
Azerbaijan	Singapore	76
Azerbaijan	Spain	8365
Azerbaijan	Switzerland	2
Azerbaijan	Turkey	820
Azerbaijan	Turkmenistan	68
Azerbaijan	Ukraine	6327
Azerbaijan	United Arab Emirates	15
Azerbaijan	United States of America	2135
Bahamas	Canada	16
Bahamas	Dominican Republic	1
Bahamas	Italy	5
Bahamas	Mexico	141
Bahamas	Spain	1
Bahamas	United Kingdom	10
Bahamas	United States of America	13216
Barbados	Argentina	144
Barbados	Belgium	24
Barbados	Brazil	39
Barbados	Canada	109
Barbados	China	3
Barbados	Colombia	1462
Barbados	Dominican Republic	40
Barbados	France	13
Barbados	Guyana	88
Barbados	Iceland	11
Barbados	India	30
Barbados	Indonesia	505
Barbados	Italy	467
Barbados	Jamaica	4
Barbados	Malaysia	224
Barbados	Mexico	5
Barbados	Singapore	15
Barbados	Sweden	6513
Barbados	Trinidad and Tobago	111
Barbados	Turkey	55
Barbados	United Kingdom	76
Barbados	United States of America	7590
Belarus	Argentina	5
Belarus	Belgium	140
Belarus	Brazil	7
Belarus	China	15
Belarus	Denmark	2539
Belarus	France	40
Belarus	Germany	17444
Belarus	Greece	202
Belarus	Hungary	161
Belarus	Iceland	56
Belarus	India	557
Belarus	Indonesia	393
Belarus	Israel	18
Belarus	Italy	1768
Belarus	Japan	2
Belarus	Latvia	251
Belarus	Lithuania	75
Belarus	Malaysia	2838
Belarus	Netherlands	2365
Belarus	Poland	1504
Belarus	Portugal	52
Belarus	Republic of Moldova	4233
Belarus	Russian Federation	121084
Belarus	South Africa	13
Belarus	Spain	1800
Belarus	Sweden	161
Belarus	Switzerland	268
Belarus	Turkey	218
Belarus	Ukraine	56416
Belarus	United Kingdom	16
Belarus	United States of America	58
Belarus	Uruguay	3
Belgium	Argentina	36043
Belgium	Australia	27
Belgium	Austria	2504
Belgium	Brazil	10468
Belgium	Bulgaria	226
Belgium	Burkina Faso	210
Belgium	Cameroon	186
Belgium	Canada	1088
Belgium	Chile	2167
Belgium	China	1673
Belgium	Chinese Taipei	176
Belgium	Colombia	4843
Belgium	Czech Republic	650
Belgium	Democratic Republic of the Congo	1
Belgium	Denmark	18150
Belgium	Estonia	1746
Belgium	Fiji	4598
Belgium	Finland	27
Belgium	France	492474
Belgium	French Polynesia	1143
Belgium	Gambia	848
Belgium	Germany	180378
Belgium	Ghana	305
Belgium	Greece	3426
Belgium	Hungary	6
Belgium	India	9662
Belgium	Indonesia	87965
Belgium	Ireland	14898
Belgium	Israel	355
Belgium	Italy	45739
Belgium	Japan	7113
Belgium	Latvia	731
Belgium	Lebanon	16
Belgium	Lithuania	698
Belgium	Luxembourg	698
Belgium	Madagascar	18
Belgium	Malaysia	29272
Belgium	Mali	1
Belgium	Malta	2
Belgium	Mexico	15
Belgium	Morocco	480
Belgium	Mozambique	422
Belgium	Netherlands	1485773
Belgium	New Zealand	920
Belgium	Nigeria	1
Belgium	Norway	246
Belgium	Palestine	431
Belgium	Papua New Guinea	41998
Belgium	Peru	7676
Belgium	Philippines	11895
Belgium	Poland	4391
Belgium	Portugal	222
Belgium	Republic of Korea	12
Belgium	Russian Federation	40
Belgium	Saudi Arabia	10
Belgium	Senegal	18
Belgium	Serbia	12
